t05076z0mrx	聂卫平点评弟子柯洁表现：AlphaGo给所有棋手上一课
v_19rr7ea25c	人机大战！柯洁再战AlphaGo成表情包
av46580813	人工智能冰冷的失败史 我们究竟对ai抱有多高的期待？ 正确提高手机逼格的方法第25期
v_19rrbbtcig	柯洁5月下旬对决AlphaGo
z0562qqrkgk	颤抖吧人类 新版AlphaGo自学成才100比0战绩碾压旧版
o0563mkrwjy	AlphaGo人工智能胜中国围棋顶尖高手 ，人类将被取代智能改变生活
v_19rr7d8kl4	柯洁认输AlphaGo中盘获胜 AlphaGo暂时2-0领先
v_19rrkug960	一瓶晚报-柯洁回应AlphaGo挑战：呵呵
v_19rrlekdn8	「科技v报」柯洁alphago即将开战
id_XMjk5NjM0Njg3Mg==	AlphaGo无敌是必然 3分钟了解棋类AI进化史
id_XMzc0MjU0MTkzNg==	AlphaGo是什麼？人工智慧真的戰勝人腦了嗎! ｜科學大爆炸EP.59
av15660986	《人类无法对抗人工智能 AlphaGo在不停进化中》 - 36bd.net
i05385b5rc6	AlphaGO 內戰圍棋聖經第十章 小小流
av4219120	【喂你播】罗永浩：月光族的年轻人将来一定赚大钱；AlphaGo进军星际2
v_19rrkup8ew	午观察：AlphaGo有多“逆天”
k05634yq3nv	AlphaGO3.0已经封神，下围棋除了拔电源，已经没有下不赢他了
v_19rr7es1yg	人机大战首战落下帷幕 柯洁憾负AlphaGo
id_XMTQ5NzExMDY0NA==	2分钟带你了解AlphaGo（阿尔法狗）！
z06532e1xmp	柯洁：我现在的招法基本上就是向AlphaGo学习
c0331hm56ga	聂卫平：李世石表现很差 中国棋手没人能赢alphago
v_19rr79ztig	石破天惊 AlphaGo“神之一手”
id_XMTQ5Njc4NjYzNg==	AlphaGo战胜李世石：为何不找中国棋手？
av10697071	《探寻人工智能》花絮 | 第三次人机大战（李世石 vs. AlphaGo)
av10863695	马云评AlphaGo没意义｜小米6劲敌荣耀9曝光
id_XMTUwMDcxMjUzNg==	阿尔法狗输棋只为约战柯洁？AlphaGo棋坛排名世界第四 
b07078wv0eb	古力也败了 Master实为AlphaGo
id_XMTUwMDYzOTgxMg==	AlphaGo因输棋获世界第四排名：公开叫板第一柯洁 160315 早安江苏
c062669xyy3	AlphaGo Zero不使用人类知识掌握围棋
id_XMTUxODI3Nzk5Ng==	“人机大战”第二季 谷歌AlphaGo再挑战人类欲打“星际争霸” 160331 早安江苏
av27935955	【碧蓝海事局】一位碧蓝玩家的日常操作—2船极限S胜光与影的鸢尾之华Extra关！
av36064134	Alphago后时代，AI开局库第二集-古力vs李世石久违的世纪对决/小小林&陪练员围棋工作室
id_XMjc4MjA3OTY5Ng==	新财经20170523人机大战：柯洁对弈AlphaGo 高清
n0189u3x6tx	从AlphaGo看人工智能的未来
f0513czp75t	刚知道围棋还能这么下，恐怕“AlphaGo”来了也不是对手！
s0871a2c6ug	用 Gephi 復盤 AlphaGo 與李世乭圍棋大戰
x08133qod08	马云：下围棋多有乐趣 别再搞AlphaGo
p050737q7av	AlphaGo 出现之前40年的世界围棋十大高手动态排名
av27502824	【碧蓝海事局】院长日常练习全程无miss不躲后面
v_19rr7dypgw	柯洁：早知道要输1/4子 AlphaGo像围棋上帝
av10772839	【鬼畜版人机大战】柯洁对阵AlphaGo疯狂小动作
v0514ksmb3u	Alphago再赢柯洁 不懂围棋，为何屡屡赢过棋王？
av4097850	【4分钟看完】李世石“神之一手”击败alphago迎首胜
z0188pz6nqf	AlphaGo要比想象中更强：柯洁
d0798671lxo	4分钟了解围棋规则 看懂柯洁和AlphaGo的对决并不难
z0653dofkj9	AlphaGo出来是柯洁最难接受的 直面现实的勇气都没有
av37516996	最年轻六冠王 柯洁 昔日败给AlphaGo后的评论
d0188heasay	金融界也有Alphago一样的存在吗？
k01888l0mhx	AlphaGo战胜李世石：为何不找中国棋手？
id_XMTQ5NjMyNjYzNg==	人机大战第二场_AlphaGO完胜2-0李世石
id_XMjc3OTQ4MjkyMA==	柯洁对弈AlphaGo明天落子 新闻深一度 170522
av16992552	AlphaGo在30击败柯洁后宣布退役，人工智能会改变人类生活吗？
av50337195	见证全服第一艘北风
id_XMjUwMzEwNjYyOA==	目击民间象棋高手自创奇术大败AlphaGo，男子身份成谜！
m0311afdo9r	谷歌的AlphaGO到底为何物？
g002603v2ag	王坚：AlphaGo不是只有大公司才可以做
id_XMTUxODIyMTUxNg==	【螃蟹八分熟】教你用星际争霸战胜AlphaGo
av4067886	AlphaGo创始人早前就曾下战帖：我们要挑战李世石
f0392bc4ab6	AlphaGo将与中国的顶尖棋手们对弈
av27264505	【AlphaGo×柯洁】I Am Machine
av16498528	【碧蓝海事局】再战极限！2船S胜10-4Boss神通！
av43112412	Al是怎样炼成的 2 （AlphaZero 论文欣赏）
av7866385	苹果在中国遭索赔 9 亿元｜全球首款8GB RAM手机发布【潮资讯0105】
